N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_n_hits,ppo_n_hits,png_miss_mean,ppo_miss_mean,png_miss_std,ppo_miss_std,png_time_mean,ppo_time_mean,png_energy_mean,ppo_energy_mean
2.5000,0.5000,sine,15,0.1400,0.4000,7,20,2.6586,0.9212,2.5274,0.9503,6.5146,6.5128,2411.7037,15567.5569
2.5000,0.5000,sine,18,0.0800,0.2800,4,14,3.0815,1.4554,2.7134,1.3243,6.5511,6.5489,2841.2606,18797.9512
2.5000,0.5000,sine,20,0.0800,0.2400,4,12,3.1850,1.8188,2.8366,1.5860,6.5779,6.5752,3151.8896,20872.7566
2.5000,0.7000,none,-,0.8800,1.0000,44,50,0.0795,0.0000,0.2189,0.0000,6.4327,6.4299,409.2914,1140.9148
2.5000,0.7000,step,3,0.0200,1.0000,1,50,6.7438,0.0000,3.4241,0.0000,7.1880,7.1670,16659.3164,3188.7561
2.5000,0.7000,step,5,0.0000,1.0000,0,50,11.9723,0.0000,6.5580,0.0000,7.2184,7.1974,27382.2097,5152.5992
2.5000,0.7000,step,7,0.0000,1.0000,0,50,15.0792,0.0000,9.2962,0.0000,7.1448,7.1440,23424.7676,7830.9788
2.5000,0.7000,step,10,0.0400,1.0000,2,50,18.7998,0.0000,9.8471,0.0000,7.1120,7.1346,18931.3097,14017.1100
2.5000,0.7000,step,12,0.0000,1.0000,0,50,17.7225,0.0000,8.4258,0.0000,7.1274,7.1519,17483.0687,18937.9541
2.5000,0.7000,step,15,0.0200,1.0000,1,50,15.9374,0.0000,7.6069,0.0000,7.1032,7.1291,12571.7884,27747.6991
2.5000,0.7000,step,18,0.0000,0.9000,0,45,14.8337,0.0586,6.4991,0.1762,7.1132,7.1416,9603.6761,37844.1458
2.5000,0.7000,step,20,0.0600,0.6600,3,33,10.7880,0.4080,6.1099,0.5974,7.1086,7.1304,9198.3316,46049.5885
2.5000,0.7000,sine,3,0.5400,1.0000,27,50,0.4442,0.0000,0.5662,0.0000,6.4334,6.4301,582.3763,2092.6707
2.5000,0.7000,sine,5,0.5200,1.0000,26,50,0.7175,0.0000,0.9194,0.0000,6.4385,6.4352,817.9549,3679.7849
2.5000,0.7000,sine,7,0.3800,0.9400,19,47,1.0649,0.0377,1.2339,0.1518,6.4475,6.4442,1076.5098,5754.7659
2.5000,0.7000,sine,10,0.2600,0.7400,13,37,1.5489,0.2319,1.6699,0.4212,6.4676,6.4644,1451.5192,9366.9633
2.5000,0.7000,sine,12,0.2600,0.6000,13,30,1.8554,0.4587,2.0029,0.6273,6.4849,6.4817,1659.1059,11995.2604
2.5000,0.7000,sine,15,0.1600,0.4000,8,20,2.4024,0.9212,2.4187,0.9503,6.5161,6.5128,1899.0946,15567.5569
2.5000,0.7000,sine,18,0.0600,0.2800,3,14,2.9062,1.4554,2.6246,1.3243,6.5526,6.5489,2137.5748,18797.9512
2.5000,0.7000,sine,20,0.0400,0.2400,2,12,3.1251,1.8188,2.7431,1.5860,6.5792,6.5752,2341.9694,20872.7566
3.0000,0.0500,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4294,6.4299,246.2248,1140.9148
3.0000,0.0500,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1776,7.1670,4553.2813,3188.7561
3.0000,0.0500,step,5,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.2129,7.1974,11438.1195,5152.5992
3.0000,0.0500,step,7,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1564,7.1440,19285.0195,7830.9788
3.0000,0.0500,step,10,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1421,7.1346,28893.8247,14017.1100
3.0000,0.0500,step,12,0.8000,1.0000,40,50,0.1471,0.0000,0.3000,0.0000,7.1573,7.1519,34177.6976,18937.9541
3.0000,0.0500,step,15,0.5600,1.0000,28,50,0.5652,0.0000,0.6885,0.0000,7.1328,7.1291,43703.2250,27747.6991
3.0000,0.0500,step,18,0.2400,0.9000,12,45,0.9653,0.0586,0.8356,0.1762,7.1433,7.1416,50400.9390,37844.1458
3.0000,0.0500,step,20,0.1200,0.6600,6,33,1.8155,0.4080,1.0971,0.5974,7.1304,7.1304,55483.8954,46049.5885
3.0000,0.0500,sine,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4302,6.4301,2214.8775,2092.6707
3.0000,0.0500,sine,5,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4355,6.4352,4562.9081,3679.7849
3.0000,0.0500,sine,7,1.0000,0.9400,50,47,0.0000,0.0377,0.0000,0.1518,6.4448,6.4442,7282.3348,5754.7659
3.0000,0.0500,sine,10,0.9000,0.7400,45,37,0.0569,0.2319,0.1711,0.4212,6.4653,6.4644,11186.9983,9366.9633
3.0000,0.0500,sine,12,0.7200,0.6000,36,30,0.1803,0.4587,0.2943,0.6273,6.4831,6.4817,13676.3557,11995.2604
3.0000,0.0500,sine,15,0.5400,0.4000,27,20,0.3789,0.9212,0.4308,0.9503,6.5147,6.5128,16817.1982,15567.5569
3.0000,0.0500,sine,18,0.4400,0.2800,22,14,0.5934,1.4554,0.5854,1.3243,6.5512,6.5489,19523.6310,18797.9512
3.0000,0.0500,sine,20,0.3800,0.2400,19,12,0.7429,1.8188,0.6734,1.5860,6.5779,6.5752,21220.3157,20872.7566
3.0000,0.1000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4296,6.4299,250.8183,1140.9148
3.0000,0.1000,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1786,7.1670,4892.5262,3188.7561
3.0000,0.1000,step,5,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.2145,7.1974,13416.1736,5152.5992
3.0000,0.1000,step,7,0.7000,1.0000,35,50,0.1923,0.0000,0.2973,0.0000,7.1583,7.1440,22864.2307,7830.9788
3.0000,0.1000,step,10,0.4600,1.0000,23,50,0.6118,0.0000,0.6832,0.0000,7.1441,7.1346,34369.5578,14017.1100
3.0000,0.1000,step,12,0.3400,1.0000,17,50,1.0765,0.0000,0.9931,0.0000,7.1588,7.1519,40227.1012,18937.9541
3.0000,0.1000,step,15,0.0200,1.0000,1,50,2.9118,0.0000,1.4276,0.0000,7.1318,7.1291,46131.1579,27747.6991
3.0000,0.1000,step,18,0.0200,0.9000,1,45,3.8744,0.0586,1.8317,0.1762,7.1407,7.1416,53280.3079,37844.1458
3.0000,0.1000,step,20,0.0400,0.6600,2,33,5.7161,0.4080,2.1775,0.5974,7.1257,7.1304,54524.0743,46049.5885
3.0000,0.1000,sine,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4304,6.4301,2444.1716,2092.6707
3.0000,0.1000,sine,5,0.9000,1.0000,45,50,0.0604,0.0000,0.1824,0.0000,6.4360,6.4352,4871.4709,3679.7849
3.0000,0.1000,sine,7,0.4600,0.9400,23,47,0.3650,0.0377,0.3591,0.1518,6.4452,6.4442,7465.7725,5754.7659
3.0000,0.1000,sine,10,0.3200,0.7400,16,37,0.7186,0.2319,0.5632,0.4212,6.4653,6.4644,10888.4618,9366.9633
3.0000,0.1000,sine,12,0.2600,0.6000,13,30,0.9584,0.4587,0.7047,0.6273,6.4827,6.4817,12843.8350,11995.2604
3.0000,0.1000,sine,15,0.1400,0.4000,7,20,1.3774,0.9212,0.8688,0.9503,6.5140,6.5128,14915.0763,15567.5569
3.0000,0.1000,sine,18,0.0800,0.2800,4,14,1.7247,1.4554,1.0502,1.3243,6.5503,6.5489,17138.4687,18797.9512
3.0000,0.1000,sine,20,0.1200,0.2400,6,12,1.9109,1.8188,1.2334,1.5860,6.5767,6.5752,18270.3803,20872.7566
3.0000,0.1500,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4297,6.4299,255.6894,1140.9148
3.0000,0.1500,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1798,7.1670,5321.2995,3188.7561
3.0000,0.1500,step,5,0.7800,1.0000,39,50,0.1669,0.0000,0.3169,0.0000,7.2163,7.1974,15275.4410,5152.5992
3.0000,0.1500,step,7,0.3400,1.0000,17,50,0.8497,0.0000,0.7180,0.0000,7.1597,7.1440,25690.5973,7830.9788
3.0000,0.1500,step,10,0.2400,1.0000,12,50,1.9174,0.0000,1.4382,0.0000,7.1446,7.1346,38749.5588,14017.1100
3.0000,0.1500,step,12,0.0000,1.0000,0,50,3.2835,0.0000,1.6450,0.0000,7.1577,7.1519,43260.7520,18937.9541
3.0000,0.1500,step,15,0.0000,1.0000,0,50,5.7728,0.0000,2.6979,0.0000,7.1285,7.1291,46861.9490,27747.6991
3.0000,0.1500,step,18,0.0600,0.9000,3,45,6.7099,0.0586,4.1400,0.1762,7.1372,7.1416,54193.6809,37844.1458
3.0000,0.1500,step,20,0.0000,0.6600,0,33,9.9075,0.4080,3.2892,0.5974,7.1188,7.1304,48794.5222,46049.5885
