#{"t_start": 1773656329.683753, "env_id": "None"}
r,l,t
-2784.2864,383,134.793547
-2631.9102,427,134.803807
-2775.0789,374,134.840385
-2329.5103,368,135.011507
-982.19354,260,135.066012
-993.4707,303,135.102428
-4670.0806,435,135.29104
-310.88196,295,135.38038
-1873.6652,378,135.415636
-4743.912,402,137.175862
-1496.728,363,137.432212
-5387.203,474,137.461339
-2481.975,371,137.473924
-1402.6304,327,137.536308
-404.18787,223,137.706101
-3233.6997,350,137.832
-1961.1256,387,137.841823
-1393.1488,365,137.927232
-1921.7952,380,138.114535
-1118.4908,278,138.137371
-2256.4565,289,138.139471
-654.0425,258,138.200734
-3829.9114,355,138.507785
-1480.3563,386,138.516957
-826.65045,348,138.565798
-5303.731,456,138.615098
-1141.0099,280,138.793751
-1312.5911,301,138.87313
-2472.8613,413,138.942978
-4012.6375,409,139.038913
-2043.4045,302,139.197503
-1887.5026,426,139.248831
-134.32584,229,140.926739
-3572.9116,361,140.980443
-289.04462,216,141.100164
-1364.7408,241,141.258554
-2925.2883,379,141.3606
-2561.1338,424,141.370841
-1284.5524,398,141.513968
-1119.1744,283,141.657866
-2129.0425,427,141.69647
-3067.2136,405,141.771916
-934.6175,343,141.864013
-564.91064,216,141.878648
-3543.0464,367,142.078995
-1653.4694,298,142.0843
-1193.4497,238,142.132751
-1670.4915,314,142.196484
-675.8478,312,142.405902
-1445.304,279,142.423848
-2175.231,317,142.527826
-9262.279,489,142.595701
-463.0971,235,142.768686
-3609.9407,363,142.797312
-3216.109,412,142.830302
-2468.737,407,143.013821
-2136.1414,359,144.821099
-1641.6309,305,144.830086
-1804.9186,365,144.86448
-2663.9675,373,145.112677
-1065.9603,250,145.117997
-314.11844,234,145.129879
-1220.1312,320,146.893859
-687.4477,242,147.158
-1931.8655,330,147.177634
-603.7302,326,147.189266
-1292.8885,355,147.206557
-1764.088,299,147.499006
-1119.8611,338,147.519969
-2722.474,360,147.578869
-1851.0266,398,147.641308
-950.72797,238,147.761894
-1229.6415,291,147.840405
-521.3558,286,147.958538
-1390.8871,359,147.977746
-1838.4502,290,148.165468
-5632.3647,464,148.273651
-1930.7163,279,148.282964
-3034.3472,380,148.372622
-497.53363,223,148.506661
-1200.106,393,148.575736
-857.3127,294,148.588393
-1230.5048,261,148.642362
-1550.6675,278,150.423468
-141.92099,220,150.436552
-1747.9633,309,150.600272
-1579.0151,395,150.63851
-1220.4058,283,150.727787
-1107.2513,369,150.825867
-1556.5697,352,150.970136
-500.3372,244,150.983327
-1689.5709,417,151.077816
-1945.1418,364,151.21813
-1118.7616,247,151.250024
-1657.2618,283,151.272334
-241.60727,224,151.313507
-1038.8425,236,151.517774
-2282.5076,357,151.586713
-951.6688,362,151.686661
-4295.3774,467,151.728267
-404.99423,266,151.788326
-1458.3213,299,151.89589
-4129.674,365,152.077633
-4134.499,415,152.190281
-1845.7358,375,152.21214
-1357.485,364,152.31529
-1101.7897,301,152.436332
-1700.3027,236,152.49085
-1644.0725,335,154.223671
-623.96375,255,154.264444
-632.4725,249,154.386153
-547.09564,337,154.527152
-1555.5326,290,154.591273
-3876.8801,390,154.665538
-2353.6677,431,154.835479
-2288.2576,312,154.84938
-946.7514,266,154.866253
-1225.239,258,154.937464
-2170.377,296,155.149023
-1005.724,282,155.163894
-1146.6958,317,155.186023
-3377.887,418,155.381814
-2492.3328,349,155.519993
-2518.091,367,155.552646
-582.7088,352,155.557602
-3833.3186,454,155.854487
-599.8029,315,155.889979
-2836.7456,431,155.974155
-6048.3433,439,156.017958
-527.24963,224,156.215843
-560.9982,313,156.225856
-4590.9727,427,156.31076
-3136.7795,328,156.365157
-1834.2856,286,158.205903
-693.27374,244,158.320168
-1563.8572,424,158.368625
-770.0942,232,158.455647
-4265.3706,473,158.50283
-1319.4603,407,158.738868
-1281.4258,279,158.74098
-1780.5098,398,158.77511
-5117.4233,476,158.988099
-1406.1992,245,158.989152
-2093.694,390,159.134027
-621.10315,426,159.207876
-1078.105,331,159.328512
-1115.4243,351,159.349223
-353.47452,255,159.399143
-2950.5186,374,159.594106
-2468.185,295,159.65011
-3748.6775,457,159.791767
-2768.642,409,159.813226
-250.8466,313,159.913849
-829.15814,284,159.942616
-831.8666,227,160.034816
-1549.4412,325,160.160937
-2259.8552,301,161.876345
-1204.5262,264,161.971518
-1618.5104,352,161.976547
-3764.1184,389,162.23873
-519.44934,261,162.262074
-1770.434,400,162.325741
-2920.0244,336,162.33791
-2422.0007,353,162.619003
-1565.1665,326,162.702204
-1376.2168,426,162.733151
-960.9997,401,162.76948
-468.5995,406,163.066068
-2366.7458,384,163.141876
-3604.7097,435,163.164512
-1546.3704,380,163.174778
-728.20447,280,163.358981
-887.099,258,163.411263
-1431.9253,263,163.439091
-1738.8704,346,163.530488
-1098.6898,352,163.768484
-2788.6106,433,163.799233
-2628.8105,369,163.813668
-894.92725,379,163.915061
-735.6091,296,165.810769
-1336.1428,330,165.815998
-2318.1904,390,167.868028
-722.9768,325,167.90773
-608.69446,310,168.083712
-918.5829,321,168.091246
-1713.0038,329,168.253162
-1823.2524,394,168.281537
-1981.1836,304,168.416574
-2121.398,410,168.522857
-2016.7991,388,168.670961
-2686.5671,417,168.731859
-1306.4443,353,168.798668
-1643.1843,388,168.946194
-1369.3186,263,168.961955
-2197.906,300,169.127476
-2747.8403,411,169.182479
-1055.5339,368,169.355917
-2363.2307,403,169.377706
-746.33093,243,169.439879
-1435.0076,378,169.524358
-1361.5184,302,169.670981
-941.067,370,169.773644
-779.3349,246,169.792331
-1827.4181,334,169.797737
-665.42206,260,172.018826
-412.9904,261,172.044592
-2422.6702,385,172.067647
-2391.1958,370,172.180428
-621.61444,254,172.322973
-1883.4812,348,172.449335
-984.15356,380,172.505317
-801.99243,278,172.62869
-3124.1113,409,172.639246
-439.6302,223,172.690988
72.57443,228,172.747607
-2208.8796,330,172.983232
-892.06006,295,173.005208
-1352.5487,348,173.010682
-2374.5261,366,173.137127
-838.2648,281,173.300812
-506.1703,241,173.391595
-1850.0209,422,173.424647
-6271.107,487,173.5184
-3261.1843,376,173.685612
-796.64935,329,173.726043
-2275.2375,426,173.861392
-4711.122,466,173.999899
-730.2098,359,175.723764
-1695.6215,416,175.747066
-1046.6752,367,175.904619
-3263.2712,430,176.170419
-3488.8662,367,176.229085
-2104.3567,430,176.28136
-872.30786,407,176.41415
-1288.7056,220,176.543039
-1762.549,399,176.695776
-3766.5303,472,176.718343
-1522.5154,355,176.814181
-936.5282,237,176.943164
