time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
206,51,2020,-1174.111328125,417792,326.67,3056.606428527832,1147.5428466796875,500,-1.3738627552986145,0.0003,0.9347023367881775,0.0052001953125,0.9546157121658325,0.2,-0.00015610432310495526,0.0014846465,,
210,52,2024,-1245.4569091796875,425984,327.72,3506.4016427993774,1481.2933349609375,510,-1.3743082452565432,0.0003,0.9221248030662537,0.0233154296875,0.9607804417610168,0.2,-0.0016716322159481933,0.0022961886,,
214,53,2027,-1327.6993408203125,434176,333.98,5308.496020507812,2732.073486328125,520,-1.3723727729171515,0.0003,0.9175893068313599,0.0169189453125,0.9516375064849854,0.2,-0.0009040565095347119,0.0021907175,,
,,,,440000,,4308.30906124115,1578.0032958984375,530,-1.3665584716945887,0.0003,0.92661052942276,0.01385498046875,0.9500025510787964,0.2,-0.0016178002719243524,0.002185126,317.4,-708.4898681640625
219,54,2016,-1453.9710693359375,442368,340.77,,,,,,,,,,,,,
223,55,2018,-1567.0096435546875,450560,345.23,5784.84944229126,2212.73193359375,540,-1.3808879921212793,0.0003,0.9166668057441711,0.0265625,0.9726646542549133,0.2,-0.001697608962058439,0.0038486635,,
226,56,2021,-1370.9532470703125,458752,334.65,5166.257746124267,2499.892578125,550,-1.39341820795089,0.0003,0.9195478558540344,0.01766357421875,0.9783289432525635,0.2,-0.0007151394418542622,0.0026994538,,
230,57,2023,-1314.9591064453125,466944,329.8,4993.125726127624,2534.42236328125,560,-1.3945986948907376,0.0003,0.9171230792999268,0.02059326171875,0.9764869213104248,0.2,-0.0015904817017144523,0.002777531,,
234,58,2025,-1083.575439453125,475136,319.26,4333.533584403992,2898.381591796875,570,-1.3922158442437649,0.0003,0.9312806129455566,0.01146240234375,0.9685590863227844,0.2,0.00024209557923313696,0.003507963,,
,,,,480000,,2061.911176490784,1115.4375,580,-1.381404553540051,0.0003,0.9516236782073975,0.01588134765625,0.9593155980110168,0.2,-0.0008375743596843677,0.002224218,335.3,-944.9097900390625
240,59,2013,-1030.6685791015625,483328,323.86,,,,,,,,,,,,,
243,60,2015,-1072.49951171875,491520,329.43,2342.6444251060484,837.890625,590,-1.3738044261932374,0.0003,0.9553573727607727,0.00848388671875,0.9508645534515381,0.2,0.0001296617068874184,0.0018716138,,
247,61,2018,-1007.212158203125,499712,326.98,2862.3286293029787,1287.781494140625,600,-1.370714652352035,0.0003,0.9529771208763123,0.01131591796875,0.9539427757263184,0.2,-0.0003695740433613537,0.0021657187,,
251,62,2019,-1089.85986328125,507904,333.91,2453.5945970535277,1470.3353271484375,610,-1.3741507709026337,0.0003,0.947354257106781,0.0132568359375,0.9560566544532776,0.2,-0.0005355464458261849,0.0022362727,,
255,63,2022,-1170.06982421875,516096,333.4,4408.109971427917,3654.842529296875,620,-1.3715764813125133,0.0003,0.9342964887619019,0.0024658203125,0.952494740486145,0.2,-2.2131461810204202e-05,0.0013066041,,
,,,,520000,,3235.030435180664,1106.7733154296875,630,-1.3746645905077457,0.0003,0.944503664970398,0.04041748046875,0.9573904275894165,0.2,-0.0015866443300183164,0.0029577329,329.6,-1025.551513671875
260,64,2011,-1126.86767578125,524288,331.86,,,,,,,,,,,,,
264,65,2013,-1119.106689453125,532480,334.5,3734.977798461914,1652.7630615234375,640,-1.3779707070440055,0.0003,0.9283136129379272,0.01793212890625,0.9630870819091797,0.2,-0.001212115245834866,0.004192318,,
